"Korean Name","English Name","Searched Eng Name","Functions"
"메밀씨추출물","Polygonum Fagopyrum (Buckwheat) Seed Extract","POLYGONUM FAGOPYRUM SEED EXTRACT","SKIN CONDITIONING"
"메발로노락톤","Mevalonolactone","MEVALONOLACTONE","HUMECTANT"
"메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀","Methylene Bis-Benzotriazolyl Tetramethylbutylphenol","METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL","LIGHT STABILIZER | UV FILTER"
"메톡시메틸부탄올","Methoxymethylbutanol","METHOXYMETHYLBUTANOL","SOLVENT"
"메톡시피이지-12레틴아마이드","Methoxy PEG-12 Retinamide","METHOXY PEG-12 RETINAMIDE","SKIN CONDITIONING"
"메티콘","Methicone","TRIMETHYLPENTYL TRISILOXANE","SOLVENT"
"메틸글루세스-10","Methyl Gluceth-10","METHYL GLUCETH-10","SURFACTANT - EMULSIFYING | HUMECTANT | MOISTURISING"
"메틸글루세스-20","Methyl Gluceth-20","METHYL GLUCETH-20","HUMECTANT | MOISTURISING"
"메틸글루코오스세스퀴스테아레이트","Methyl Glucose Sesquistearate","METHYL GLUCOSE SESQUISTEARATE","SKIN CONDITIONING - EMOLLIENT | SURFACTANT - EMULSIFYING | SKIN CONDITIONING"
"메틸다이아이소프로필프로피온아마이드","Methyl Diisopropyl Propionamide","METHYL DIISOPROPYL PROPIONAMIDE","FRAGRANCE"
"메틸다이하이드로자스모네이트","Methyldihydrojasmonate","METHYLDIHYDROJASMONATE","FRAGRANCE"
"메틸렌다이옥시페닐메틸프로판알","Methylenedioxyphenyl Methylpropanal","METHYLENEDIOXYPHENYL METHYLPROPANAL","PERFUMING | FRAGRANCE | SKIN CONDITIONING - MISCELLANEOUS"
"메틸메타크릴레이트크로스폴리머","Methyl Methacrylate Crosspolymer","METHYL METHACRYLATE/GLYCOL DIMETHACRYLATE CROSSPOLYMER","FILM FORMING"
"메틸실란올만누로네이트","Methylsilanol Mannuronate","SODIUM MANNURONATE METHYLSILANOL","HUMECTANT | SKIN CONDITIONING"
"메틸카프로오일타이로지네이트","Methyl Caprooyl Tyrosinate","METHYL CAPROOYL TYROSINATE","SKIN PROTECTING"
"메틸트라이메티콘","Methyl Trimethicone","METHYL TRIMETHICONE","HAIR CONDITIONING | SKIN CONDITIONING | SOLVENT"
"메틸파라벤","Methylparaben","POTASSIUM METHYLPARABEN","PRESERVATIVE"
"메틸팔미테이트","Methyl Palmitate","METHYL PALMITATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | PERFUMING"
"메틸퍼플루오로부틸에터","Methyl Perfluorobutyl Ether","METHYL PERFLUOROBUTYL ETHER","SOLVENT | VISCOSITY CONTROLLING"
"메틸프로판다이올","Methylpropanediol","METHYLPROPANEDIOL","SOLVENT"
"메틸하이드로제네이티드로지네이트","Methyl Hydrogenated Rosinate","METHYL HYDROGENATED ROSINATE","FILM FORMING | SKIN CONDITIONING | PERFUMING"
"멕시칸주니퍼오일","Juniperus Mexicana Oil","JUNIPERUS MEXICANA OIL","FRAGRANCE"
"멕시칸치아씨오일","Salvia Hispanica Seed Oil","SALVIA HISPANICA SEED OIL","MOISTURISING | SKIN CONDITIONING"
"멕시칸치아씨추출물","Salvia Hispanica Seed Extract","SALVIA HISPANICA SEED EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"멘톡시프로판다이올","Menthoxypropanediol","MENTHOXYPROPANEDIOL","FRAGRANCE | REFRESHING"
"멘톨","Menthol","Substance: Menthol; dl-menthol; l-menthol; d-menthol",""
"멘틸락테이트","Menthyl Lactate","MENTHYL LACTATE","FRAGRANCE | REFRESHING"
"모란뿌리추출물","Paeonia Suffruticosa Root Extract","PAEONIA SUFFRUTICOSA ROOT EXTRACT","SKIN PROTECTING"
"모란추출물","Paeonia Suffruticosa Extract","PAEONIA SUFFRUTICOSA CALLUS EXTRACT","ANTIMICROBIAL | ANTIOXIDANT | HAIR CONDITIONING | SKIN PROTECTING"
"목련나무껍질추출물","Magnolia Kobus Bark Extract","MAGNOLIA KOBUS BARK EXTRACT","SKIN CONDITIONING"
"목별씨가종피오일","Momordica Cochinchinensis Seed Aril Oil","MOMORDICA COCHINCHINENSIS SEED ARIL OIL","ANTIOXIDANT | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | SKIN PROTECTING | UV ABSORBER"
"목서꽃추출물","Osmanthus Fragrans Flower Extract","OSMANTHUS FRAGRANS FLOWER EXTRACT","FRAGRANCE"
"몰로키아잎추출물","Corchorus Olitorius Leaf Extract","CORCHORUS OLITORIUS LEAF EXTRACT","SKIN CONDITIONING"
"몰약오일","Commiphora Myrrha Oil","COMMIPHORA MYRRHA OIL","FRAGRANCE | SKIN CONDITIONING | TONIC"
"몽당잎모자반추출물","Sargassum Muticum Extract","SARGASSUM MUTICUM EXTRACT","SKIN PROTECTING"
"무추출물","Raphanus Sativus (Radish) Root Extract","RAPHANUS SATIVUS ROOT EXTRACT","ASTRINGENT | SKIN CONDITIONING"
"무화과추출물","Ficus Carica (Fig) Fruit Extract","FICUS CARICA FRUIT EXTRACT","HUMECTANT"
"미레스-3미리스테이트","Myreth-3 Myristate","MYRETH-3 MYRISTATE","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING | SURFACTANT - CLEANSING"
"미리스토일펜타펩타이드-17","Myristoyl Pentapeptide-17","MYRISTOYL PENTAPEPTIDE-17","SKIN CONDITIONING - MISCELLANEOUS"
"민들레전초추출물","Taraxacum Platycarpum Extract","ERIOBOTRYA JAPONICA LEAF/TARAXACUM PLATYCARPUM EXTRACT","NOT REPORTED"
"밀겨추출물","Triticum Vulgare (Wheat) Bran Extract","TRITICUM VULGARE BRAN EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"밀배아오일","Triticum Vulgare (Wheat) Germ Oil","TRITICUM VULGARE GERM OIL","SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN CONDITIONING"
"밀배아오일불검화물","Triticum Vulgare (Wheat) Germ Oil Unsaponifiables","HYDROGENATED WHEAT GERM OIL UNSAPONIFIABLES","HAIR CONDITIONING | SKIN CONDITIONING"
"밀배아추출물","Triticum Vulgare (Wheat) Germ Extract","TRITICUM VULGARE GERM EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"밀싹추출물","Triticum Vulgare (Wheat) Sprout Extract","TRITICUM VULGARE SPROUT EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"밀추출물","Triticum Aestivum (Wheat) Seed Extract,Triticum Vulgare (Wheat) Seed Extract","BOSWELLIA SACRA BARK/CROCUS SATIVUS FLOWER/(CAPPARIS SPINOSA/CITRULLUS COLOCYNTHIS/CITRUS JUNOS/CRATAEGUS OXYCANTHA/CYDONIA OBLONGA/EGGPLANT/WATERMELON/ZIZIPHUS JUJUBA FRUIT)/(ARTEMISIA ANNUA/CASSIA ANGUSTIFOLIA/CHICORY/DILL/ERUCA SATIVA/THYME LEAF)/(EUPHORBIA SUPINA LEAF/STEM)/CITRUS JUNOS PEEL/COMMIPHORA MYRRHA RESIN/(ACORUS CALAMUS/ALLIUM FISTULOSUM/BEET/CHICORY/SAUSSUREA LAPPA ROOT)/(HORDEUM VULGARE/NIGELLA SATIVA/TRIGONELLA FOENUM-GRAECUM/WHEAT SEED)/(SORGHUM VULGARE SEED/SKIN)/LEPIDIUM SATIVUM SPROUT/(AGARICUS BISPORUS/AURICULARIA AURICULA-JUDAE/GANODERMA LUCIDUM/GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/LENTINUS EDODES/PHELLINUS LINTEUS/SPARASSIS CRISPA/TREMELLA FUCIFORMIS)/(ARTEMISIA MARITIMA/CELERY/INDIGOFERA TINCTORIA/NARCISSUS TAZETTA/ORIGANUM VULGARE/PORTULACA OLERACEA) EXTRACT","SKIN CONDITIONING - MISCELLANEOUS"
"밀펩타이드","Triticum Aestivum (Wheat) Peptide","TRITICUM AESTIVUM PEPTIDE","FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"바나나꽃추출물","Musa Sapientum (Banana) Flower Extract","MUSA SAPIENTUM FLOWER EXTRACT","SKIN CONDITIONING"
"바나나추출물","Musa Sapientum (Banana) Fruit Extract","MUSA SAPIENTUM FRUIT EXTRACT","SKIN CONDITIONING"
"바닐라열매추출물","Vanilla Planifolia Fruit Extract","VANILLA PLANIFOLIA FRUIT EXTRACT","SKIN CONDITIONING | SKIN PROTECTING | SMOOTHING"
"바다포도추출물","Caulerpa Lentillifera Extract","CAULERPA LENTILLIFERA EXTRACT","FILM FORMING"
"바베이도스체리추출물","Malpighia Punicifolia (Acerola) Fruit Extract","MALPIGHIA PUNICIFOLIA FRUIT EXTRACT","ANTIOXIDANT"
"바실러스발효물","Bacillus Ferment","BACILLUS/BRASSICA NAPUS EXTRACT/GLYCERIN FERMENT FILTRATE","SKIN PROTECTING | SKIN CONDITIONING - MISCELLANEOUS"
"바오밥나무씨오일","Adansonia Digitata Seed Oil","HYDROGENATED ADANSONIA DIGITATA SEED OIL","SKIN CONDITIONING - EMOLLIENT"
"바오밥나무씨추출물","Adansonia Digitata Seed Extract","ADANSONIA DIGITATA SEED EXTRACT","SKIN CONDITIONING"
"바오밥나무잎추출물","Adansonia Digitata Leaf Extract","ADANSONIA DIGITATA LEAF EXTRACT","SKIN CONDITIONING"
"바오밥나무펄프추출물","Adansonia Digitata Pulp Extract","ADANSONIA DIGITATA PULP EXTRACT","SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN CONDITIONING"
"바위돌꽃뿌리추출물","Rhodiola Rosea Root Extract","RHODIOLA ROSEA ROOT EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN PROTECTING"
"바위손추출물","Selaginella Tamariscina Extract","SELAGINELLA TAMARISCINA EXTRACT","SKIN CONDITIONING"
"바위취추출물","Saxifraga Sarmentosa Extract","SAXIFRAGA SARMENTOSA EXTRACT","SKIN CONDITIONING"
"바이오사카라이드검-1","Biosaccharide Gum-1","BIOSACCHARIDE GUM-1","SKIN CONDITIONING"
"바이오사카라이드검-2","Biosaccharide Gum-2","BIOSACCHARIDE GUM-2","SKIN CONDITIONING"
"바이오사카라이드검-4","Biosaccharide Gum-4","BIOSACCHARIDE GUM-4","SKIN CONDITIONING"
"바이오티노일트라이펩타이드-1","Biotinoyl Tripeptide-1","BIOTINOYL TRIPEPTIDE-1","HAIR CONDITIONING"
"바이오틴","Biotin","BIOTIN","HAIR CONDITIONING | SKIN CONDITIONING - MISCELLANEOUS"
"바이오플라보노이드","Bioflavonoids","BIOFLAVONOIDS","SKIN CONDITIONING | SOOTHING"
"바질오일","Ocimum Basilicum (Basil) Oil","OCIMUM BASILICUM OIL","FRAGRANCE | TONIC"
"바질잎수","Ocimum Basilicum (Basil) Leaf Water","OCIMUM BASILICUM LEAF WATER","FRAGRANCE | SKIN CONDITIONING | PERFUMING | FLAVOURING"
"바질잎추출물","Ocimum Basilicum (Basil) Leaf Extract","OCIMUM BASILICUM LEAF EXTRACT","SKIN CONDITIONING"
"바질추출물","Ocimum Basilicum (Basil) Extract","OCIMUM BASILICUM ROOT EXTRACT","SKIN CONDITIONING"
"바추잎잎추출물","Barosma Betulina Leaf Extract","BAROSMA BETULINA LEAF EXTRACT","SKIN CONDITIONING | PERFUMING"
"바쿠치올","Bakuchiol","BAKUCHIOL","ANTIMICROBIAL | ANTIOXIDANT | SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"바투아야자열매오일","Oenocarpus Bataua Fruit Oil","OENOCARPUS BATAUA FRUIT OIL","SKIN CONDITIONING - EMOLLIENT | MOISTURISING"
"박하추출물","Mentha Haplocalix Extract","MENTHA HAPLOCALIX EXTRACT","FRAGRANCE"
"발레이추출물","Hordeum Distichon (Barley) Extract","HORDEUM DISTICHON EXTRACT","SKIN PROTECTING"
"발린","Valine","VALINE","ANTISTATIC | HAIR CONDITIONING | FRAGRANCE | SKIN CONDITIONING"
"발삼아미리스껍질오일","Amyris Balsamifera Bark Oil","AMYRIS BALSAMIFERA BARK OIL","FRAGRANCE | PERFUMING"
"발삼코파이바수지","Copaifera Officinalis (Balsam Copaiba) Resin","COPAIFERA OFFICINALIS RESIN OIL","FRAGRANCE | SKIN CONDITIONING"
"밤껍질추출물","Castanea Crenata (Chestnut) Shell Extract","CASTANEA CRENATA SHELL EXTRACT","SKIN CONDITIONING"
"밤부사 불가리스수","Bambusa Vulgaris Water","BAMBUSA VULGARIS WATER","SKIN CONDITIONING"
"밤부사 불가리스싹추출물","Bambusa Vulgaris Shoot Extract","BAMBUSA VULGARIS SHOOT EXTRACT","ANTIOXIDANT | ASTRINGENT | SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN CONDITIONING"
"밤부사 불가리스잎추출물","Bambusa Vulgaris Leaf Extract","BAMBUSA VULGARIS LEAF EXTRACT","SKIN CONDITIONING"
"밤부사 불가리스추출물","Bambusa Vulgaris Extract","BAMBUSA VULGARIS FLOWER EXTRACT","SKIN CONDITIONING"
"방사무늬돌김추출물","Porphyra Yezoensis Extract","PORPHYRA YEZOENSIS EXTRACT","SKIN CONDITIONING"
"배롱나무꽃추출물","Lagerstroemia Indica Flower Extract","LAGERSTROEMIA INDICA FLOWER EXTRACT","SKIN CONDITIONING"
"백량금추출물","Ardisia Crispa Extract","ARDISIA CRISPA EXTRACT","SKIN CONDITIONING"
"백설차잎추출물","Thamnolia Vermicularis Leaf Extract","THAMNOLIA VERMICULARIS LEAF EXTRACT","SKIN CONDITIONING"
"버지니아풍년화수","Hamamelis Virginiana (Witch Hazel) Water","HAMAMELIS VIRGINIANA FLOWER WATER","ASTRINGENT | HAIR CONDITIONING | SKIN CONDITIONING | SOOTHING"
"버지니아풍년화잎수","Hamamelis Virginiana (Witch Hazel) Leaf Water","HAMAMELIS VIRGINIANA LEAF WATER","ASTRINGENT | SKIN CONDITIONING"
"버지니아풍년화잎추출물","Hamamelis Virginiana (Witch Hazel) Leaf Extract","HAMAMELIS VIRGINIANA LEAF EXTRACT","SKIN CONDITIONING"
"버지니아풍년화추출물","Hamamelis Virginiana (Witch Hazel) Extract","HAMAMELIS VIRGINIANA LEAF EXTRACT","SKIN CONDITIONING"
"벌사상자열매추출물","Cnidium Monnieri Fruit Extract","CNIDIUM MONNIERI FRUIT EXTRACT","HUMECTANT | SKIN CONDITIONING"
"베르가모트오일","Citrus Aurantium Bergamia (Bergamot) Fruit Oil","CITRUS AURANTIUM BERGAMIA FRUIT OIL","FRAGRANCE | PERFUMING"
"베르가모트잎추출물","Citrus Aurantium Bergamia (Bergamot) Leaf Extract","CITRUS AURANTIUM BERGAMIA LEAF CELL EXTRACT","ANTIOXIDANT | SKIN PROTECTING"
"베르가모트추출물","Citrus Aurantium Bergamia (Bergamot) Fruit Extract","CITRUS AURANTIUM BERGAMIA FRUIT EXTRACT","SKIN CONDITIONING"
"베르가못잎추출물","Monarda Didyma Leaf Extract","MONARDA DIDYMA LEAF EXTRACT","SKIN CONDITIONING"
"베어베리잎추출물","Arctostaphylos Uva-Ursi Leaf Extract","ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT","SKIN CONDITIONING"
"베타-글루칸","Beta-Glucan","ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT","SKIN CONDITIONING"
"베타-시토스테롤","Beta-Sitosterol","BETA-SITOSTEROL","EMULSION STABILISING | FRAGRANCE | SKIN CONDITIONING | LIGHT STABILIZER"
"베타인","Betaine","BETAINE SALICYLATE","ANTIMICROBIAL | KERATOLYTIC"
"베타인살리실레이트","Betaine Salicylate","BETAINE SALICYLATE","ANTIMICROBIAL | KERATOLYTIC"
"베툴린","Betulin","METHOXY PEG-200 BETULIN","SKIN CONDITIONING"
"베티버뿌리오일","Vetiveria Zizanoides Root Oil","VETIVERIA ZIZANOIDES ROOT OIL","FRAGRANCE | TONIC | PERFUMING"
"베헤네스-20","Beheneth-20","BEHENETH-20","SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING"
"베헤닉애씨드","Behenic Acid","BEHENIC ACID","CLEANSING | SURFACTANT - EMULSIFYING | OPACIFYING | SURFACTANT - CLEANSING"
"베헤닐알코올","Behenyl Alcohol","STEARYL/BEHENYL ALCOHOL","SURFACTANT - EMULSIFYING"
"베헨트라이모늄클로라이드","Behentrimonium Chloride","BEHENTRIMONIUM CHLORIDE","ANTISTATIC | HAIR CONDITIONING | PRESERVATIVE"
"벤잘코늄클로라이드","Benzalkonium Chloride","BENZALKONIUM MONTMORILLONITE","SURFACTANT - EMULSIFYING | VISCOSITY CONTROLLING"
"벤조익애씨드","Benzoic Acid","BENZALKONIUM MONTMORILLONITE","SURFACTANT - EMULSIFYING | VISCOSITY CONTROLLING"
"벤조인나무검","Styrax Benzoin Gum","STYRAX BENZOIN GUM EXTRACT","PERFUMING"
"벤조트라이아졸릴도데실p-크레솔","Benzotriazolyl Dodecyl p-Cresol","BENZOTRIAZOLYL DODECYL P-CRESOL","UV ABSORBER"
"벤조페논-4","Benzophenone-4","BENZOPHENONE-4","LIGHT STABILIZER | UV ABSORBER | UV FILTER"
"벤즈알데하이드","Benzaldehyde","BENZALDEHYDE","DENATURANT | FRAGRANCE | PERFUMING | FLAVOURING"
"벤질글라이콜","Benzyl Glycol","BENZYL GLYCOL","SOLVENT"
"벤질벤조에이트","Benzyl Benzoate","Substance: Benzyl benzoate",""
"벤질살리실레이트","Benzyl Salicylate","BENZYL SALICYLATE","PERFUMING | LIGHT STABILIZER"
"벤질아세테이트","Benzyl Acetate","BENZYL ACETATE","FRAGRANCE | PERFUMING"
"벤질알코올","Benzyl Alcohol","BENZYL ALCOHOL","PRESERVATIVE | SOLVENT | VISCOSITY CONTROLLING | PERFUMING"
"벤토나이트","Bentonite,CI 77004","BENTONITE","ABSORBENT | BULKING | EMULSION STABILISING | VISCOSITY CONTROLLING"
"변성알코올","Alcohol Denat.","ALCOHOL DENAT.","ANTIFOAMING | ANTIMICROBIAL | ASTRINGENT | FRAGRANCE | SOLVENT | VISCOSITY CONTROLLING"
"별꽃추출물","Stellaria Media (Chickweed) Extract","STELLARIA MEDIA EXTRACT","SKIN CONDITIONING"
"병풀단백질추출물","Centella Asiatica Protein Extract","CENTELLA ASIATICA PROTEIN EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING - HUMECTANT | SKIN CONDITIONING - MISCELLANEOUS"
"병풀뿌리추출물","Centella Asiatica Root Extract","CENTELLA ASIATICA ROOT EXTRACT","SKIN CONDITIONING"
"병풀오일","Centella Asiatica Oil","CENTELLA ASIATICA OIL","ANTIMICROBIAL | ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING | SKIN PROTECTING"
"병풀잎수","Centella Asiatica Leaf Water","CENTELLA ASIATICA LEAF WATER","SKIN CONDITIONING"
"병풀잎추출물","Centella Asiatica Leaf Extract","CENTELLA ASIATICA LEAF/STEM EXTRACT","SKIN CONDITIONING - HUMECTANT"
"병풀추출물","Centella Asiatica Extract","HYDROLYZED CENTELLA ASIATICA EXTRACT","ANTIOXIDANT | SKIN CONDITIONING - HUMECTANT"
"병풀캘러스배양액","Centella Asiatica Callus Conditioned Media","CENTELLA ASIATICA CALLUS CONDITIONED MEDIA","SKIN CONDITIONING"
"보검선인장꽃추출물","Opuntia Ficus-Indica Flower Extract","OPUNTIA FICUS-INDICA FLOWER EXTRACT","SKIN CONDITIONING"
"보검선인장씨오일","Opuntia Ficus-Indica Seed Oil","OPUNTIA FICUS-INDICA SEED OIL","SKIN CONDITIONING - EMOLLIENT"
"보검선인장열매추출물","Opuntia Ficus-Indica Fruit Extract","OPUNTIA FICUS-INDICA FRUIT EXTRACT","SKIN CONDITIONING"
"보검선인장줄기추출물","Opuntia Ficus-Indica Stem Extract","OPUNTIA FICUS-INDICA STEM EXTRACT","SKIN CONDITIONING"
"보검선인장추출물","Opuntia Ficus-Indica Extract","OPUNTIA FICUS-INDICA/OPUNTIA MAXIMA LEAF EXTRACT",""
"보론나이트라이드","Boron Nitride","BORON NITRIDE","BULKING | SLIP MODIFIER"
"보리싹추출물","Hordeum Vulgare Sprout Extract","HORDEUM VULGARE SPROUT EXTRACT","ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING"
"보리씨추출물","Hordeum Vulgare Seed Extract","HORDEUM VULGARE SPROUT EXTRACT","ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING"
"보리잎추출물","Hordeum Vulgare Leaf Extract","HORDEUM VULGARE LEAF EXTRACT","SKIN CONDITIONING"
"보리지씨오일","Borago Officinalis Seed Oil","BORAGO OFFICINALIS SEED OIL","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"보리지추출물","Borago Officinalis Extract","BORAGO OFFICINALIS EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"보리추출물","Hordeum Vulgare Extract","HORDEUM VULGARE SPROUT EXTRACT","ANTIOXIDANT | HUMECTANT | SKIN CONDITIONING"
"보스웰리아 사크라수지오일","Boswellia Sacra Resin Oil","BOSWELLIA SACRA RESIN OIL","SKIN CONDITIONING - EMOLLIENT | FRAGRANCE | SKIN CONDITIONING | PERFUMING"
"보스웰리아수지추출물","Boswellia Serrata Resin Extract","BOSWELLIA SERRATA RESIN EXTRACT","SMOOTHING | TONIC"
"보이차추출물","Camellia Sinensis Leaf Extract","CAMELLIA SINENSIS LEAF CELL EXTRACT","ANTIOXIDANT | SKIN PROTECTING"
"복령균핵추출물","Poria Cocos Sclerotium Extract","PORIA COCOS SCLEROTIUM EXTRACT","ASTRINGENT"
"복사나무꽃추출물","Prunus Persica (Peach) Flower Extract","PRUNUS PERSICA FLOWER EXTRACT","MOISTURISING | SKIN CONDITIONING"
"복사나무잎추출물","Prunus Persica (Peach) Leaf Extract","PRUNUS PERSICA LEAF EXTRACT","SKIN CONDITIONING - EMOLLIENT | MOISTURISING | SKIN CONDITIONING"
"복숭아추출물","Prunus Persica (Peach) Fruit Extract","PRUNUS PERSICA EXTRACT","CLEANSING | HAIR CONDITIONING | MOISTURISING | SKIN CONDITIONING"
"볼도잎추출물","Peumus Boldus Leaf Extract","PEUMUS BOLDUS LEAF EXTRACT","FRAGRANCE"
"봉의꼬리추출물","Pteris Multifida Extract","PTERIS MULTIFIDA EXTRACT","ANTIOXIDANT | SKIN CONDITIONING"
"부들레야추출물","Buddleja Davidii Extract","BUDDLEJA DAVIDII LEAF EXTRACT","SKIN CONDITIONING"
"부틸렌글라이콜","Butylene Glycol","2,3-BUTANEDIOL","HUMECTANT | FRAGRANCE | SKIN CONDITIONING | SOLVENT"
"부틸렌글라이콜코코에이트","Butylene Glycol Cocoate","BUTYLENE GLYCOL COCOATE","SURFACTANT - EMULSIFYING | EMULSION STABILISING | VISCOSITY CONTROLLING"
"부틸메톡시디벤조일메탄","Butyl Methoxydibenzoylmethane","BUTYL METHOXYDIBENZOYLMETHANE","LIGHT STABILIZER | UV ABSORBER | UV FILTER"
"부틸옥틸살리실레이트","Butyloctyl Salicylate","BUTYLOCTYL SALICYLATE","HAIR CONDITIONING | SKIN CONDITIONING | SOLVENT"
"부틸페닐메틸프로피오날","Butylphenyl Methylpropional","BUTYLPHENYL METHYLPROPIONAL","FRAGRANCE | PERFUMING"
"분비나무오일","Abies Sibirica Oil","ABIES SIBIRICA OIL","FRAGRANCE | TONIC | PERFUMING"
"불가리스매자뿌리추출물","Berberis Vulgaris Root Extract","BERBERIS VULGARIS ROOT EXTRACT","ANTIMICROBIAL"
"불가리스쑥오일","Artemisia Vulgaris Oil","ARTEMISIA VULGARIS OIL","SKIN CONDITIONING | PERFUMING"
"불가리스쑥추출물","Artemisia Vulgaris Extract","ARTEMISIA VULGARIS LEAF EXTRACT","ANTIOXIDANT | SKIN CONDITIONING - EMOLLIENT | SKIN PROTECTING"
"불등가사리추출물","Gloiopeltis Furcata Extract","GLOIOPELTIS FURCATA EXTRACT","SKIN CONDITIONING"
"붉나무충영추출물","Rhus Semialata Gall Extract","LACTOBACILLUS/RHUS SEMIALATA GALL EXTRACT FERMENT","SKIN CONDITIONING"
"붉은토끼풀꽃추출물","Trifolium Pratense (Clover) Flower Extract","TRIFOLIUM PRATENSE FLOWER EXTRACT","ASTRINGENT | FRAGRANCE"
"붉은토끼풀추출물","Trifolium Pratense (Clover) Extract","TRIFOLIUM PRATENSE FLOWER EXTRACT","ASTRINGENT | FRAGRANCE"
"브라질넛씨오일","Bertholletia Excelsa Seed Oil","BERTHOLLETIA EXCELSA SEED OIL","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"브로멜라인","Bromelain","BROMELAIN","KERATOLYTIC | SKIN CONDITIONING"
"브로콜리싹추출물","Brassica Oleracea Italica (Broccoli) Sprout Extract","BRASSICA OLERACEA ITALICA SPROUT EXTRACT","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"브로콜리추출물","Brassica Oleracea Italica (Broccoli) Extract","BRASSICA OLERACEA ITALICA JUICE","ANTIOXIDANT | SKIN CONDITIONING"
"브루셀스프라우트추출물","Brassica Oleracea Gemmifera (Brussels Sprouts) Extract","BRASSICA OLERACEA GEMMIFERA EXTRACT","ASTRINGENT"
"블래더랙추출물","Fucus Vesiculosus Extract","ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS EXTRACT","HUMECTANT | SKIN CONDITIONING"
"블랙윌로우나무껍질추출물","Salix Nigra (Willow) Bark Extract","SALIX NIGRA BARK EXTRACT","SKIN PROTECTING"
"블랙체리나무껍질추출물","Prunus Serotina (Wild Cherry) Bark Extract","PRUNUS SEROTINA BARK EXTRACT","FRAGRANCE | MOISTURISING | SKIN CONDITIONING"
"블랙체리열매추출물","Prunus Serotina (Wild Cherry) Fruit Extract","PRUNUS SEROTINA FRUIT EXTRACT","FRAGRANCE | MOISTURISING | SKIN CONDITIONING"
"블루아가베잎추출물","Agave Tequilana Leaf Extract","AGAVE TEQUILANA LEAF EXTRACT","ASTRINGENT"
"블루탄지꽃오일","Tanacetum Annuum Flower Oil","TANACETUM ANNUUM FLOWER OIL","FRAGRANCE | SKIN CONDITIONING"
"블루플래그아이리스추출물","Iris Versicolor Extract","IRIS VERSICOLOR ROOT EXTRACT","SKIN CONDITIONING"
"비누풀잎추출물","Saponaria Officinalis Leaf Extract","SAPONARIA OFFICINALIS LEAF EXTRACT","ANTIMICROBIAL | CLEANSING"
"비니거","Vinegar","VINEGAR EXTRACT","SKIN CONDITIONING - EMOLLIENT | HAIR CONDITIONING | SKIN CONDITIONING | SKIN PROTECTING"
"비닐다이메티콘","Vinyl Dimethicone","BIS-VINYL DIMETHICONE/DIMETHICONE COPOLYMER","EMULSION STABILISING | FILM FORMING | SKIN CONDITIONING | VISCOSITY CONTROLLING"
"비사보롤","Bisabolol","HYDROGENATED BISABOLOL","SKIN CONDITIONING"
"비스-다이글리세릴폴리아실아디페이트-1","Bis-Diglyceryl Polyacyladipate-1","BIS-DIGLYCERYL POLYACYLADIPATE-1","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"비스-다이글리세릴폴리아실아디페이트-2","Bis-Diglyceryl Polyacyladipate-2","BIS-DIGLYCERYL POLYACYLADIPATE-2","SKIN CONDITIONING - EMOLLIENT | SKIN CONDITIONING"
"비스-스테아릴다이메티콘","Bis-Stearyl Dimethicone","BIS-STEARYL DIMETHICONE","SKIN CONDITIONING - EMOLLIENT | FILM FORMING | SKIN CONDITIONING"
